Linha,Coluna,idAcesso,Name,nTub,nRep,Cluster
1,1,327,RPC04-02,48,3,5
1,2,322,KCR08-07,20,2,2
1,3,245,KCR06-02,44,3,2
1,4,250,54-02,46,3,3
1,5,255,GMR05-04,72,3,1
1,6,204,KCR02-03,35,3,2
1,7,457,BYONCE,61,3,6
1,8,35,LCS06-03,36,3,6
1,9,221,RPC01-22,85,3,3
1,10,269,RPC01-49,38,3,1
1,11,138,KCR02-04,81,3,5
1,12,303,PRM03-48,51,3,6
1,13,242,IRF09-44,55,3,1
1,14,100,LCS09-26,54,3,6
1,15,320,LCS08-20,37,3,3
1,16,466,Polpa Roxa,60,3,6
1,17,437,11-013-39 (325),25,3,3
1,18,196,KCR06-04,25,3,2
1,19,53,USP01-43,25,3,1
1,20,356,KCR04-02,50,3,1
1,21,76,GMR08-22,33,3,6
1,22,254,KCR01-26,45,3,2
1,23,280,USP02-05,47,3,1
1,24,337,KCR09-13,34,3,2
1,25,284,GMR22-18,46,3,3
1,26,312,CTB32-26,24,3,2
1,27,345,CBM18-11,41,3,4
1,28,360,SR2-31-03,79,3,5
1,29,168,SRI-05-04,53,3,5
1,30,369,CCF02-18,67,3,1
1,31,60,ATLANTIC,26,10,5
1,32,407,RPC01-46,23,3,3
1,33,338,USP02-11,62,3,1
1,34,41,KCR08-05,44,3,6
1,35,416,USP02-04,25,3,1
2,1,354,GMR03-54,70,3,6
2,2,462,MARKIES,42,10,6
2,3,355,RSV18-01,41,3,6
2,4,516,Lady Roseta,25,3,6
2,5,298,USP01-07,39,3,3
2,6,201,CCF01-20,15,2,5
2,7,59,KCR03-04,70,3,2
2,8,477,IAC ITARARÉ,12,2,5
2,9,118,CBM09-10 (397),66,3,4
2,10,448,21-05,78,3,3
2,11,443,52A30 (441),50,3,3
2,12,165,IRF09-18,40,3,5
2,13,579,30 . 4,15,2,4
2,14,116,KCR01-23,35,3,2
2,15,608,47 . 35,16,2,1
2,16,411,ESMERALDA,32,3,5
2,17,378,RPC01-09,68,3,3
2,18,614,48 . 14,21,3,4
2,19,289,CMM01-12,16,2,3
2,20,394,KCR01-24,33,3,3
2,21,383,OAS03-30,20,2,1
2,22,623,48 . 31,12,2,4
2,23,163,GRO02-06,40,3,2
2,24,540,2 . 48,11,2,4
2,25,468,Mechuñe Negra,28,3,6
2,26,228,RSV06-37,43,3,6
2,27,166,SR1-04-02,58,3,5
2,28,205,USP01-19,29,3,3
2,29,620,48 . 21,13,2,4
2,30,185,RPC01-23,63,3,3
2,31,639,50 . 5,3,1,3
2,32,200,RSV09-07,51,3,6
2,33,9,CCF11-05,30,3,5
2,34,88,11-013-51 (446),12,2,1
2,35,264,USP01-33,28,3,1
3,1,131,USP01-12,76,3,2
3,2,566,23 . 36,1,1,4
3,3,198,KCR02-11,32,3,2
3,4,2,KRC08-08,38,3,2
3,5,483,CL. IAC 3.33,9,1,5
3,6,398,GSI05-33,42,3,4
3,7,479,IAC AXEL,12,2,5
3,8,420,MOF02-03,50,3,6
3,9,7,M852A-3075,18,2,2
3,10,459,ANTARTICA,56,3,5
3,11,248,KCR01-01,11,2,2
3,12,142,F6-03,27,3,3
3,13,345,CBM18-11,41,3,4
3,14,139,12-074-99,68,3,6
3,15,212,JUG02-20,26,3,1
3,16,203,CTB03-17,6,1,5
3,17,419,RUSSET BURBANK,55,7,4
3,18,63,KCR01-20,33,3,2
3,19,260,USP01-09,24,3,1
3,20,644,50 . 82,4,1,3
3,21,108,IRF12-34,37,3,5
3,22,461,DANIQE,46,3,2
3,23,10,KCR08-01,10,2,5
3,24,317,DSM04-01,21,3,3
3,25,135,KCR06-05,12,2,2
3,26,433,11-013-39 (325),37,3,3
3,27,513,Aziza,7,1,6
3,28,392,GMR09-02,22,3,6
3,29,124,RPC11-01,26,3,1
3,30,474,IAC.ABAETÉ,11,2,5
3,31,113,IRF07-61,74,3,5
3,32,348,KCR01-02,31,3,2
3,33,79,USP01-35,20,2,1
3,34,136,CTB17-26,23,3,6
3,35,92,CMA-346,44,3,1
4,1,432,14-150-53,27,3,3
4,2,192,NES01-08,22,3,2
4,3,173,MOF03-18,3,1,4
4,4,121,CCF04-01,43,3,1
4,5,286,RPC01-14,71,3,3
4,6,170,RPC01-29,34,3,3
4,7,571,23 . 8,14,2,4
4,8,176,RPC12-31,58,3,1
4,9,384,CMA-339,39,3,1
4,10,635,50 . 13,1,1,3
4,11,462,MARKIES,42,10,6
4,12,511,Carola,3,1,2
4,13,411,ESMERALDA,32,3,5
4,14,642,50 . 76,4,1,3
4,15,40,USP02-09,43,3,1
4,16,204,KCR02-03,35,3,2
4,17,510,Bintje,6,1,6
4,18,102,LCS22-19,53,3,6
4,19,17,USP01-16,24,3,1
4,20,164,RPC06-18,27,3,1
4,21,180,RPC01-48,39,3,3
4,22,267,USP02-07,42,3,1
4,23,319,CMM01-61,59,3,3
4,24,628,48 . 6,17,2,4
4,25,18,MOF01-11,24,3,6
4,26,645,50 . 85,4,1,3
4,27,60,ATLANTIC,26,10,5
4,28,544,10 . 2,3,1,6
4,29,359,CCF14-12,26,3,1
4,30,488,CL. IAC 3.11,11,2,5
4,31,517,Saudade de Minas,16,2,6
4,32,112,CMM01-60,22,3,3
4,33,227,USP01-38,26,3,2
4,34,277,ESL12-36,24,3,6
4,35,148,RSV24-09,12,2,6
5,1,243,KCR09-03,4,1,1
5,2,210,USP01-42,53,3,1
5,3,66,ASTERIX,19,10,6
5,4,194,MOF07-15,9,1,2
5,5,71,SR3-32-16,38,3,2
5,6,379,IND08-18,57,3,1
5,7,445,11-013-20,22,3,6
5,8,279,LCS28-35,30,3,1
5,9,189,SR4-05-08,45,3,5
5,10,386,KCR03-03,58,3,2
5,11,481,IAC GRANADA,1,1,5
5,12,66,ASTERIX,19,10,6
5,13,575,24 . 4,8,1,2
5,14,110,CCF04-13,70,3,1
5,15,278,SR3-33-14,49,3,5
5,16,33,LCS28-25,10,2,1
5,17,27,CCF24-25,30,3,1
5,18,485,CL. IAC 59.61,11,2,6
5,19,456,VENTANA,101,3,6
5,20,159,IRF01-96,20,2,2
5,21,296,LCS09-04,65,3,6
5,22,607,44 . 7,1,1,4
5,23,343,USP01-27,42,3,1
5,24,373,RPC01-25,92,3,3
5,25,473,IAC ARACY RUIVA,15,2,6
5,26,190,LCS16-27,30,3,5
5,27,547,11 . 2,6,1,1
5,28,462,MARKIES,42,10,6
5,29,478,IAC VITÓRIA,22,3,5
5,30,405,KCR01-11,33,3,2
5,31,39,KCR01-12,41,3,2
5,32,23,LCS03-37,15,2,6
5,33,217,RPC04-20,45,3,1
5,34,526,CL. IAC 90.65,7,1,5
5,35,134,LCS03-17,30,3,6
6,1,103,CBM16-16,38,7,6
6,2,132,RSV21-03,41,3,6
6,3,295,LCS20-03,19,2,6
6,4,45,GSI05-10,51,3,2
6,5,211,USP01-06,16,2,1
6,6,439,F6-07,32,3,3
6,7,331,LCS07-21,15,2,3
6,8,222,12-054-90,60,3,4
6,9,235,LCS09-31,1,1,6
6,10,197,USP01-18,44,3,1
6,11,213,GSI12-31,21,3,4
6,12,626,48 . 36,12,2,4
6,13,335,USP02-13,28,3,1
6,14,262,USP01-23,15,2,1
6,15,153,SR2-30-03,28,3,5
6,16,453,PALACE,57,3,6
6,17,16,RPC04-49,17,2,5
6,18,60,ATLANTIC,26,10,5
6,19,521,CL IAC 19.44,3,1,6
6,20,187,14-148-66,36,3,3
6,21,151,CBM08-20,19,2,3
6,22,344,LCS13-23,42,3,2
6,23,629,48 . 9,4,1,4
6,24,152,CCF23-21,47,3,1
6,25,74,SR2-24-03,54,3,5
6,26,518,Lady da Vargem,14,2,6
6,27,318,LCS21-14,27,3,1
6,28,640,50 . 73,16,2,3
6,29,373,RPC01-25,92,3,3
6,30,68,195-10,18,2,4
6,31,128,CCF27-15,23,3,1
6,32,588,32 . 32,31,3,3
6,33,536,2 . 41,8,1,4
6,34,103,CBM16-16,38,7,6
6,35,621,48 . 22,8,1,4
7,1,599,43 . 4,1,1,4
7,2,215,KCR03-02,74,3,2
7,3,240,LCS14-33,25,3,6
7,4,346,RPC12-24,19,2,1
7,5,125,RPC12-47,23,3,1
7,6,436,11-013-39 (325),15,2,3
7,7,117,CTB37-16,28,3,6
7,8,585,32 . 23,12,2,1
7,9,130,RPC09-01,42,3,1
7,10,495,Monalisa,14,2,2
7,11,122,LCS28-03,24,3,1
