Linha,Coluna,Value,Cluster
1,1,455,6
1,2,620,4
1,3,165,5
1,4,308,5
1,5,132,6
1,6,82,5
1,7,20,3
1,8,125,1
1,9,320,3
1,10,343,1
1,11,9,5
1,12,217,1
1,13,48,4
1,14,229,5
1,15,280,1
1,16,460,5
1,17,139,6
1,18,454,6
1,19,18,6
1,20,380,1
1,21,53,1
1,22,39,2
1,23,228,6
1,24,258,1
1,25,161,2
1,26,244,3
1,27,443,3
1,28,186,6
1,29,439,3
1,30,100,6
1,31,347,1
1,32,338,1
1,33,278,5
1,34,407,3
1,35,340,2
2,1,303,6
2,2,349,6
2,3,216,1
2,4,261,1
2,5,150,1
2,6,496,5
2,7,96,6
2,8,331,3
2,9,117,6
2,10,110,1
2,11,378,3
2,12,225,1
2,13,376,6
2,14,28,2
2,15,295,6
2,16,296,6
2,17,459,5
2,18,456,6
2,19,554,4
2,20,466,6
2,21,495,2
2,22,54,1
2,23,133,1
2,24,628,4
2,25,360,5
2,26,71,2
2,27,300,2
2,28,187,3
2,29,346,1
2,30,25,5
2,31,504,6
2,32,35,6
2,33,317,3
2,34,540,4
2,35,147,1
3,1,458,2
3,2,81,5
3,3,204,2
3,4,274,2
3,5,622,4
3,6,457,6
3,7,397,3
3,8,118,4
3,9,10,5
3,10,215,2
3,11,631,3
3,12,134,6
3,13,443,3
3,14,27,1
3,15,283,6
3,16,578,4
3,17,346,1
3,18,122,1
3,19,106,3
3,20,552,5
3,21,142,3
3,22,448,3
3,23,33,1
3,24,304,5
3,25,627,4
3,26,89,6
3,27,243,1
3,28,222,4
3,29,264,1
3,30,201,5
3,31,432,3
3,32,45,2
3,33,528,5
3,34,410,1
3,35,212,1
4,1,369,1
4,2,390,6
4,3,563,4
4,4,153,5
4,5,197,1
4,6,63,2
4,7,38,2
4,8,387,2
4,9,166,5
4,10,324,1
4,11,349,6
4,12,162,3
4,13,296,6
4,14,505,5
4,15,357,5
4,16,82,5
4,17,141,5
4,18,359,1
4,19,84,5
4,20,198,2
4,21,394,3
4,22,267,1
4,23,152,1
4,24,156,6
4,25,112,3
4,26,574,2
4,27,347,1
4,28,569,4
4,29,168,5
4,30,473,6
4,31,517,6
4,32,318,1
4,33,15,1
4,34,40,1
4,35,637,3
5,1,589,3
5,2,226,2
5,3,348,2
5,4,566,4
5,5,312,2
5,6,379,1
5,7,59,2
5,8,121,1
5,9,230,4
5,10,176,1
5,11,564,4
5,12,348,2
5,13,513,6
5,14,164,1
5,15,77,5
5,16,248,2
5,17,478,5
5,18,436,3
5,19,255,1
5,20,148,6
5,21,245,2
5,22,536,4
5,23,356,1
5,24,242,1
5,25,23,6
5,26,337,2
5,27,636,3
5,28,349,6
5,29,138,5
5,30,167,4
5,31,136,6
